,MP,FG,FGA,3P,3PA,FT,FTA,TRB,STL,BLK,TOV,PF,+/-,PTS,Unnamed: 5,Opp
119,34.0,9.0,15.0,2.0,3.0,0.0,0.0,10.0,1.0,1.0,5.0,5.0,10.0,20.0,1,18
120,23.0,3.0,11.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,8.0,7.0,1,25
121,33.0,7.0,15.0,0.0,3.0,7.0,7.0,10.0,1.0,0.0,3.0,2.0,-5.0,21.0,0,4
122,31.0,9.0,15.0,1.0,3.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,-23.0,20.0,1,21
123,24.0,10.0,15.0,3.0,5.0,2.0,2.0,5.0,2.0,0.0,0.0,2.0,19.0,25.0,1,1
124,31.0,7.0,17.0,2.0,7.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,-18.0,16.0,0,20
125,37.0,9.0,16.0,2.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,2.0,12.0,20.0,1,28
126,26.0,4.0,12.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,3.0,10.0,1,6
128,32.0,8.0,18.0,0.0,4.0,2.0,2.0,15.0,0.0,1.0,6.0,4.0,-4.0,18.0,0,15
129,35.0,7.0,14.0,1.0,3.0,5.0,5.0,4.0,1.0,0.0,3.0,2.0,21.0,20.0,0,21
130,32.0,11.0,18.0,1.0,3.0,2.0,2.0,10.0,0.0,2.0,3.0,2.0,18.0,25.0,0,3
131,36.0,12.0,21.0,1.0,4.0,3.0,4.0,9.0,0.0,0.0,1.0,2.0,14.0,28.0,0,2
132,29.0,8.0,12.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,5.0,6.0,5.0,16.0,1,11
133,29.0,7.0,13.0,1.0,4.0,0.0,0.0,10.0,0.0,1.0,2.0,1.0,8.0,15.0,0,24
134,30.0,9.0,17.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,4.0,1.0,4.0,18.0,0,7
135,29.0,8.0,19.0,0.0,1.0,0.0,1.0,8.0,2.0,0.0,2.0,2.0,-1.0,16.0,1,0
136,27.0,6.0,12.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,4.0,1.0,8.0,15.0,1,5
137,29.0,9.0,18.0,1.0,3.0,2.0,4.0,8.0,3.0,0.0,5.0,2.0,-7.0,21.0,1,9
138,37.0,9.0,18.0,2.0,6.0,0.0,0.0,8.0,1.0,1.0,3.0,4.0,-10.0,20.0,0,10
139,27.0,8.0,13.0,1.0,4.0,0.0,0.0,8.0,3.0,1.0,2.0,1.0,30.0,17.0,1,10
140,28.0,6.0,12.0,0.0,1.0,3.0,4.0,7.0,1.0,1.0,4.0,1.0,-20.0,15.0,0,9
141,34.0,10.0,19.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,-1.0,20.0,0,13
142,28.0,7.0,15.0,2.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,4.0,-15.0,19.0,0,23
143,32.0,8.0,16.0,0.0,2.0,1.0,1.0,7.0,1.0,0.0,4.0,2.0,-8.0,17.0,1,18
144,24.0,5.0,10.0,0.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,25.0,13.0,1,10
145,38.0,8.0,23.0,0.0,5.0,2.0,3.0,11.0,2.0,0.0,3.0,3.0,0.0,18.0,0,27
146,24.0,3.0,14.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,-6.0,7.0,0,22
147,32.0,8.0,10.0,1.0,1.0,1.0,2.0,7.0,1.0,0.0,4.0,0.0,-4.0,18.0,1,24
149,19.0,4.0,10.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,1.0,3.0,-32.0,8.0,1,24
150,34.0,10.0,17.0,1.0,4.0,1.0,3.0,9.0,0.0,0.0,4.0,1.0,-17.0,22.0,1,13
151,32.0,8.0,17.0,0.0,3.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,9.0,18.0,1,27
152,32.0,10.0,16.0,4.0,6.0,0.0,0.0,9.0,2.0,0.0,3.0,1.0,2.0,24.0,1,27
153,37.0,6.0,11.0,1.0,4.0,4.0,4.0,11.0,0.0,0.0,3.0,2.0,15.0,17.0,1,9
154,21.0,3.0,12.0,1.0,1.0,3.0,3.0,7.0,2.0,0.0,3.0,2.0,-12.0,10.0,0,22
155,32.0,8.0,12.0,1.0,1.0,2.0,4.0,7.0,0.0,0.0,3.0,1.0,3.0,19.0,0,18
156,31.0,6.0,16.0,1.0,2.0,2.0,2.0,11.0,1.0,0.0,1.0,0.0,3.0,15.0,0,25
157,36.0,7.0,19.0,1.0,3.0,0.0,1.0,13.0,2.0,0.0,1.0,3.0,14.0,15.0,1,2
158,27.0,6.0,11.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,3.0,2.0,-19.0,13.0,0,26
159,32.0,7.0,13.0,1.0,2.0,1.0,2.0,6.0,0.0,0.0,4.0,0.0,3.0,16.0,1,22
160,31.0,5.0,12.0,0.0,3.0,3.0,3.0,6.0,0.0,0.0,2.0,0.0,-1.0,13.0,0,12
161,26.0,8.0,15.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,-15.0,18.0,0,12
162,38.0,12.0,24.0,2.0,6.0,1.0,1.0,17.0,1.0,1.0,2.0,3.0,14.0,27.0,0,13
163,35.0,7.0,12.0,3.0,5.0,0.0,1.0,11.0,1.0,2.0,2.0,0.0,-3.0,17.0,0,23
164,34.0,14.0,22.0,1.0,3.0,2.0,4.0,10.0,0.0,1.0,5.0,0.0,0.0,31.0,1,4
